disease_group,disease_id,disease,outcome,income,sex,age_group,rel_year,estimate,ci_low,ci_high,p_value,n,,,
Group 02,D0201,Group 02 / Disease 01,Depression,low,male,young,-5,0.07201109,-0.161964142,0.30598632077646887,0.5463532570450909,2480,,,
Group 02,D0201,Group 02 / Disease 01,Depression,low,male,young,-4,-0.017309962,-0.334433438,0.2998135146897803,0.9148007042731068,3201,,,
Group 02,D0201,Group 02 / Disease 01,Depression,low,male,young,-3,-0.001235835,-0.352251326,0.3497796561068141,0.9944941174727631,1110,,,
Group 02,D0201,Group 02 / Disease 01,Depression,low,male,young,-2,-0.005137033,-0.231791807,0.22151774223098694,0.9645675846497681,2999,,,
Group 02,D0201,Group 02 / Disease 01,Depression,low,male,young,-1,0.032812418,-0.167790051,0.2334148880020353,0.7485166049499323,2304,,,
Group 02,D0201,Group 02 / Disease 01,Depression,low,male,young,0,-0.017125886,-0.271450451,0.23719867834710637,0.8949970593438685,899,,,
Group 02,D0201,Group 02 / Disease 01,Depression,low,male,young,1,0.004776065,-0.254061234,0.2636133637049652,0.9711500666848809,1289,,,
Group 02,D0201,Group 02 / Disease 01,Depression,low,male,young,2,0.096839604,-0.163207442,0.35688665057621366,0.46545769446523444,829,,,
Group 02,D0201,Group 02 / Disease 01,Depression,low,male,young,3,0.17435351401300297,-0.063777749,0.4124847768366763,0.15126971658305655,2624,,,
Group 02,D0201,Group 02 / Disease 01,Depression,low,male,young,4,-0.09765884,-0.415225248,0.2199075686341099,0.5466788414561419,4740,,,
Group 02,D0201,Group 02 / Disease 01,Depression,low,male,young,5,-0.101367132,-0.363372759,0.16063849575316355,0.44826978347985547,732,,,
Group 02,D0201,Group 02 / Disease 01,Depression,low,male,mid,-5,0.011837232,-0.207393142,0.23106760519875427,0.915717871,418,,,
Group 02,D0201,Group 02 / Disease 01,Depression,low,male,mid,-4,0.1912599861777483,-0.071415858,0.453935831,0.1535457237643847,4779,,,
Group 02,D0201,Group 02 / Disease 01,Depression,low,male,mid,-3,0.14852030523947668,-0.034258661,0.3312992714362326,0.1112425643974706,3794,,,
Group 02,D0201,Group 02 / Disease 01,Depression,low,male,mid,-2,0.11331454507877935,-0.154411566,0.38104065575741863,0.40678414407804686,706,,,
Group 02,D0201,Group 02 / Disease 01,Depression,low,male,mid,-1,0.19505704822143688,0.008581135,0.38153296183719837,0.040345495,4010,,,
Group 02,D0201,Group 02 / Disease 01,Depression,low,male,mid,0,0.08862161,-0.220642201,0.39788542030380836,0.5743537659302571,4346,,,
Group 02,D0201,Group 02 / Disease 01,Depression,low,male,mid,1,-0.026946146,-0.245259518,0.19136722699467434,0.8088418881972361,4665,,,
Group 02,D0201,Group 02 / Disease 01,Depression,low,male,mid,2,0.051648896475313774,-0.100615099,0.2039128915664098,0.5061501357921983,2069,,,
Group 02,D0201,Group 02 / Disease 01,Depression,low,male,mid,3,-0.094044573,-0.405292425,0.21720327972122336,0.5537029352660807,3492,,,
Group 02,D0201,Group 02 / Disease 01,Depression,low,male,mid,4,0.052683825644468815,-0.295008799,0.40037645012604234,0.766476195,3271,,,
Group 02,D0201,Group 02 / Disease 01,Depression,low,male,mid,5,-0.019842244,-0.208080028,0.16839554065063628,0.836318644,2911,,,
Group 02,D0201,Group 02 / Disease 01,Depression,low,male,old,-5,0.22853090193175013,0.047933688,0.409128116,0.013130185882299417,2491,,,
Group 02,D0201,Group 02 / Disease 01,Depression,low,male,old,-4,0.23471441682443125,0.011481606283551327,0.4579472273653112,0.039321235,709,,,
Group 02,D0201,Group 02 / Disease 01,Depression,low,male,old,-3,0.2756504156439051,0.086498348,0.46480248365453747,0.004286116,346,,,
Group 02,D0201,Group 02 / Disease 01,Depression,low,male,old,-2,0.028799542,-0.31497873,0.37257781432350984,0.8695766547462254,1582,,,
Group 02,D0201,Group 02 / Disease 01,Depression,low,male,old,-1,-0.001781237,-0.152283265,0.14872079173752992,0.9814929830357597,4670,,,
Group 02,D0201,Group 02 / Disease 01,Depression,low,male,old,0,0.23488808484397972,-0.056456794,0.5262329641454182,0.11406306141996447,3700,,,
Group 02,D0201,Group 02 / Disease 01,Depression,low,male,old,1,0.13795872347387905,-0.157154138,0.433071585,0.35953234098390374,2765,,,
Group 02,D0201,Group 02 / Disease 01,Depression,low,male,old,2,0.161081458,-0.171240035,0.4934029511512336,0.3420904818394297,3358,,,
Group 02,D0201,Group 02 / Disease 01,Depression,low,male,old,3,0.10665012805054097,-0.083487162,0.29678741794916463,0.27159978885933844,3785,,,
Group 02,D0201,Group 02 / Disease 01,Depression,low,male,old,4,0.18469406485186587,-0.057000262,0.42638839179600824,0.1341953242936733,2810,,,
Group 02,D0201,Group 02 / Disease 01,Depression,low,male,old,5,0.20483510769468816,-0.018530855,0.4282010704841576,0.072272972,2154,,,
Group 02,D0201,Group 02 / Disease 01,Depression,low,female,young,-5,-0.235597596,-0.45292815,-0.018267041,0.033608174,4467,,,
Group 02,D0201,Group 02 / Disease 01,Depression,low,female,young,-4,-0.174525411,-0.46904584,0.11999501883744851,0.245460254,3387,,,
Group 02,D0201,Group 02 / Disease 01,Depression,low,female,young,-3,-0.110861192,-0.257975844,0.036253459,0.13967637304958602,1788,,,
Group 02,D0201,Group 02 / Disease 01,Depression,low,female,young,-2,-0.319368658,-0.629554213,-0.009183103,0.043588535,2436,,,
Group 02,D0201,Group 02 / Disease 01,Depression,low,female,young,-1,-0.073295693,-0.349321299,0.20272991265053208,0.602744838,900,,,
Group 02,D0201,Group 02 / Disease 01,Depression,low,female,young,0,0.13101344367821918,-0.187302189,0.4493290762299881,0.41983730051587953,4418,,,
Group 02,D0201,Group 02 / Disease 01,Depression,low,female,young,1,-0.045711253,-0.236411954,0.14498944786237133,0.6384871742394047,3571,,,
Group 02,D0201,Group 02 / Disease 01,Depression,low,female,young,2,-0.117287428,-0.38973802,0.1551631643372938,0.39880261475425005,1691,,,
Group 02,D0201,Group 02 / Disease 01,Depression,low,female,young,3,0.21723733915626348,-0.057677973,0.4921526508673379,0.12143299822874676,2926,,,
Group 02,D0201,Group 02 / Disease 01,Depression,low,female,young,4,0.1580958956814229,-0.04392459,0.3601163809211064,0.1250679789758038,3476,,,
Group 02,D0201,Group 02 / Disease 01,Depression,low,female,young,5,0.20574540528505755,0.028041589014168727,0.3834492215559464,0.023250866860442088,490,,,
Group 02,D0201,Group 02 / Disease 01,Depression,low,female,mid,-5,0.2798497709822055,0.15849941369194087,0.4012001282724701,6.183497098577462e-06,4982,,,
Group 02,D0201,Group 02 / Disease 01,Depression,low,female,mid,-4,0.25635218976080487,0.042131463,0.4705729169667999,0.019002631,4081,,,
Group 02,D0201,Group 02 / Disease 01,Depression,low,female,mid,-3,0.14284907866700297,-0.092495677,0.3781938345995548,0.23417345057949968,4520,,,
Group 02,D0201,Group 02 / Disease 01,Depression,low,female,mid,-2,0.16745116220810574,-0.182845722,0.5177480463208837,0.34879365832912823,2817,,,
Group 02,D0201,Group 02 / Disease 01,Depression,low,female,mid,-1,0.15310362403687677,-0.113428968,0.41963621586574984,0.2602172870011952,4810,,,
Group 02,D0201,Group 02 / Disease 01,Depression,low,female,mid,0,0.037503459,-0.196346627,0.2713535458487418,0.7532681981300446,4821,,,
Group 02,D0201,Group 02 / Disease 01,Depression,low,female,mid,1,0.26150123396971314,0.043201982,0.47980048550994825,0.018880145178788776,3479,,,
Group 02,D0201,Group 02 / Disease 01,Depression,low,female,mid,2,-0.044155874,-0.117345878,0.029034129924301044,0.23701639459487822,3345,,,
Group 02,D0201,Group 02 / Disease 01,Depression,low,female,mid,3,-0.080141646,-0.455327366,0.2950440740514679,0.6754600101160655,2887,,,
Group 02,D0201,Group 02 / Disease 01,Depression,low,female,mid,4,0.07524765,-0.139506283,0.29000158247590707,0.49223109508973417,2129,,,
Group 02,D0201,Group 02 / Disease 01,Depression,low,female,mid,5,-0.283643921,-0.453651832,-0.11363601,0.001075112,1612,,,
Group 02,D0201,Group 02 / Disease 01,Depression,low,female,old,-5,0.083484938,-0.206970344,0.373940221,0.5731907265957692,323,,,
Group 02,D0201,Group 02 / Disease 01,Depression,low,female,old,-4,0.085484412,-0.16781522,0.33878404360477377,0.5083126199166526,2331,,,
Group 02,D0201,Group 02 / Disease 01,Depression,low,female,old,-3,0.095799236,-0.087580556,0.27917902839183373,0.3058723773099685,2645,,,
Group 02,D0201,Group 02 / Disease 01,Depression,low,female,old,-2,0.090780311,-0.25458865,0.4361492716493807,0.6064227359974563,503,,,
Group 02,D0201,Group 02 / Disease 01,Depression,low,female,old,-1,0.20628510236980158,0.017329168,0.3952410364114425,0.03237483,1367,,,
Group 02,D0201,Group 02 / Disease 01,Depression,low,female,old,0,0.009326148,-0.290347712,0.3090000080191522,0.9513614815728364,3165,,,
Group 02,D0201,Group 02 / Disease 01,Depression,low,female,old,1,0.13500849420715372,-0.07840376,0.3484207488172462,0.2150006074094506,1838,,,
Group 02,D0201,Group 02 / Disease 01,Depression,low,female,old,2,0.00660029,-0.279602856,0.29280343596585606,0.9639473765957416,3728,,,
Group 02,D0201,Group 02 / Disease 01,Depression,low,female,old,3,0.069075754,-0.121283389,0.2594348974750704,0.4769438554487915,638,,,
Group 02,D0201,Group 02 / Disease 01,Depression,low,female,old,4,0.22237538838121318,0.024917018799349905,0.4198337579630764,0.027291020544199185,687,,,
Group 02,D0201,Group 02 / Disease 01,Depression,low,female,old,5,0.11405357985390527,-0.098416592,0.32652375149014623,0.2927425550808229,3126,,,
Group 02,D0201,Group 02 / Disease 01,Depression,high,male,young,-5,0.2660138449186142,0.019964084,0.5120636056714251,0.034087825,4231,,,
Group 02,D0201,Group 02 / Disease 01,Depression,high,male,young,-4,0.2048145250915906,-0.005354504,0.4149835537472585,0.056124867125110445,4724,,,
Group 02,D0201,Group 02 / Disease 01,Depression,high,male,young,-3,0.3494416709277076,0.055307975968349854,0.6435753658870653,0.019882798575865612,215,,,
Group 02,D0201,Group 02 / Disease 01,Depression,high,male,young,-2,0.18457025751863082,-0.141231116,0.5103716311850153,0.26684274898358584,3825,,,
Group 02,D0201,Group 02 / Disease 01,Depression,high,male,young,-1,0.2961972890911381,0.068651136,0.5237434424315701,0.010731082322661845,1575,,,
Group 02,D0201,Group 02 / Disease 01,Depression,high,male,young,0,0.2710409573646102,0.054593859,0.48748805556643354,0.014113347542457522,3629,,,
Group 02,D0201,Group 02 / Disease 01,Depression,high,male,young,1,0.3199504507520561,0.16216471804459637,0.4777361834595158,7.05582750573086e-05,621,,,
Group 02,D0201,Group 02 / Disease 01,Depression,high,male,young,2,0.30399789123510274,0.10235632909499676,0.5056394533752087,0.003127442,1056,,,
Group 02,D0201,Group 02 / Disease 01,Depression,high,male,young,3,0.33520493664450735,0.13452466459877926,0.5358852086902355,0.001060844,2737,,,
Group 02,D0201,Group 02 / Disease 01,Depression,high,male,young,4,0.43791121339349975,0.21186008723165978,0.6639623395553398,0.000146484,2801,,,
Group 02,D0201,Group 02 / Disease 01,Depression,high,male,young,5,0.4485490344278129,0.074946296,0.8221517733237969,0.018613405,4117,,,
Group 02,D0201,Group 02 / Disease 01,Depression,high,male,mid,-5,0.22293265437975116,-0.028366735,0.47423204331459945,0.082077914,2120,,,
Group 02,D0201,Group 02 / Disease 01,Depression,high,male,mid,-4,0.2511795275299665,0.004069094,0.4982899611978014,0.046340922,3567,,,
Group 02,D0201,Group 02 / Disease 01,Depression,high,male,mid,-3,0.2315492555226659,-0.004645773,0.4677442840157108,0.054675212,649,,,
Group 02,D0201,Group 02 / Disease 01,Depression,high,male,mid,-2,0.1348963567610517,-0.188272723,0.4580654367992527,0.41327847319854416,2381,,,
Group 02,D0201,Group 02 / Disease 01,Depression,high,male,mid,-1,0.32783915704318767,0.053509569,0.6021687446655467,0.019164824,1983,,,
Group 02,D0201,Group 02 / Disease 01,Depression,high,male,mid,0,0.4222582378333296,0.2649488185205318,0.5795676571461275,1.431685949793149e-07,2603,,,
Group 02,D0201,Group 02 / Disease 01,Depression,high,male,mid,1,0.32322092865463126,-0.046673656,0.6931155133678617,0.08677045,3023,,,
Group 02,D0201,Group 02 / Disease 01,Depression,high,male,mid,2,0.3638378345895531,0.07523672,0.6524389493120466,0.013475043927519081,4205,,,
Group 02,D0201,Group 02 / Disease 01,Depression,high,male,mid,3,0.5761965086759637,0.37112270143785137,0.7812703159140761,3.6496286437426306e-08,251,,,
Group 02,D0201,Group 02 / Disease 01,Depression,high,male,mid,4,0.5152306791357986,0.24318201964762415,0.7872793386239729,0.000205606,4326,,,
Group 02,D0201,Group 02 / Disease 01,Depression,high,male,mid,5,0.4619066562132686,0.26592699225384414,0.65788632,3.845808650204674e-06,2138,,,
Group 02,D0201,Group 02 / Disease 01,Depression,high,male,old,-5,0.075957482,-0.228015006,0.37992997094748604,0.6242965219329379,684,,,
Group 02,D0201,Group 02 / Disease 01,Depression,high,male,old,-4,0.24331691706198355,-0.039034363,0.5256681972444206,0.091212748,907,,,
Group 02,D0201,Group 02 / Disease 01,Depression,high,male,old,-3,-0.017647477,-0.289003339,0.2537083856312684,0.8985703923064627,3800,,,
Group 02,D0201,Group 02 / Disease 01,Depression,high,male,old,-2,0.3049607960695249,0.034997795,0.5749237967835688,0.02682239,4571,,,
Group 02,D0201,Group 02 / Disease 01,Depression,high,male,old,-1,0.2922291873791678,0.073037064,0.5114213109915227,0.008972712,3484,,,
Group 02,D0201,Group 02 / Disease 01,Depression,high,male,old,0,0.24159247087812563,0.11222613585614541,0.3709588059001059,0.000251908,2480,,,
Group 02,D0201,Group 02 / Disease 01,Depression,high,male,old,1,0.2612276920858845,0.11212024713880311,0.41033513703296587,0.000595167,4485,,,
Group 02,D0201,Group 02 / Disease 01,Depression,high,male,old,2,0.35000526188156134,0.083403184,0.6166073395243943,0.010077404954986768,535,,,
Group 02,D0201,Group 02 / Disease 01,Depression,high,male,old,3,0.37037523894329577,0.1645041201867938,0.5762463576997977,0.000421625,3174,,,
Group 02,D0201,Group 02 / Disease 01,Depression,high,male,old,4,0.3797750412219846,0.19292175604617606,0.5666283263977931,6.786328615460135e-05,2180,,,
Group 02,D0201,Group 02 / Disease 01,Depression,high,male,old,5,0.432355784,0.2866218528111446,0.5780897161794654,6.069728053503809e-09,1607,,,
Group 02,D0201,Group 02 / Disease 01,Depression,high,female,young,-5,0.05846549,-0.223723165,0.3406541451841733,0.6846807189169595,1876,,,
Group 02,D0201,Group 02 / Disease 01,Depression,high,female,young,-4,-0.106478662,-0.31269869,0.099741366,0.31152991873347524,2040,,,
Group 02,D0201,Group 02 / Disease 01,Depression,high,female,young,-3,0.12620750220449528,-0.217682138,0.47009714221892124,0.4719437605851451,4111,,,
Group 02,D0201,Group 02 / Disease 01,Depression,high,female,young,-2,0.2484362374054947,-0.00437978,0.5012522549111922,0.054098755758414274,4223,,,
Group 02,D0201,Group 02 / Disease 01,Depression,high,female,young,-1,0.062027361831709885,-0.145195095,0.26924981817823734,0.5574174803204714,4483,,,
Group 02,D0201,Group 02 / Disease 01,Depression,high,female,young,0,0.13265936606685552,-0.067657581,0.3329763135548107,0.1942856887653186,2708,,,
Group 02,D0201,Group 02 / Disease 01,Depression,high,female,young,1,0.2240619056167042,-0.110900507,0.5590243186914676,0.18983193261393705,1059,,,
Group 02,D0201,Group 02 / Disease 01,Depression,high,female,young,2,0.29321297994229706,0.076971279,0.5094546805160021,0.007868467,1950,,,
Group 02,D0201,Group 02 / Disease 01,Depression,high,female,young,3,0.2729011676999227,0.040094583535009054,0.5057077518648363,0.021587041913856853,4805,,,
Group 02,D0201,Group 02 / Disease 01,Depression,high,female,young,4,0.2635359401699555,0.04009242,0.4869794600562456,0.020795194354042756,3378,,,
Group 02,D0201,Group 02 / Disease 01,Depression,high,female,young,5,0.30957602467279727,0.11720728517032428,0.5019447641752702,0.001609401,1077,,,
Group 02,D0201,Group 02 / Disease 01,Depression,high,female,mid,-5,0.14607016833928216,-0.070717632,0.3628579688534552,0.18662313831457356,2874,,,
Group 02,D0201,Group 02 / Disease 01,Depression,high,female,mid,-4,0.22103239988988072,-0.075237551,0.5173023509300743,0.14367015543535255,623,,,
Group 02,D0201,Group 02 / Disease 01,Depression,high,female,mid,-3,-0.02885781,-0.342825286,0.28510966577447583,0.8570346427013369,2563,,,
Group 02,D0201,Group 02 / Disease 01,Depression,high,female,mid,-2,0.15450839580214168,-0.14761912,0.45663591173323614,0.3161762753527402,2050,,,
Group 02,D0201,Group 02 / Disease 01,Depression,high,female,mid,-1,0.2806896517687446,-0.013478827,0.5748581305294218,0.061457074445623094,3037,,,
Group 02,D0201,Group 02 / Disease 01,Depression,high,female,mid,0,0.047612413,-0.068445155,0.16366998212232786,0.42134699098904305,852,,,
Group 02,D0201,Group 02 / Disease 01,Depression,high,female,mid,1,0.23709350283728065,-0.077017881,0.5512048871670558,0.13902758671032878,4839,,,
Group 02,D0201,Group 02 / Disease 01,Depression,high,female,mid,2,0.15443550997467204,-0.047997256,0.35686827573760727,0.13484146809668296,2420,,,
Group 02,D0201,Group 02 / Disease 01,Depression,high,female,mid,3,0.1384830207131002,-0.159924697,0.4368907383259477,0.3630422311552779,2346,,,
Group 02,D0201,Group 02 / Disease 01,Depression,high,female,mid,4,0.17603788111901697,-0.215424296,0.5675000583250269,0.3781020708599945,2090,,,
Group 02,D0201,Group 02 / Disease 01,Depression,high,female,mid,5,0.088795594,-0.178621578,0.3562127651404679,0.5151652961096285,1073,,,
Group 02,D0201,Group 02 / Disease 01,Depression,high,female,old,-5,0.3339063300335822,0.11406382546905033,0.5537488345981141,0.002911476,3013,,,
Group 02,D0201,Group 02 / Disease 01,Depression,high,female,old,-4,0.2414419761729077,0.02265218,0.4602317724214734,0.030546824384496185,3310,,,
Group 02,D0201,Group 02 / Disease 01,Depression,high,female,old,-3,0.32584175969787016,0.074099299,0.5775842206998464,0.011183331266292118,3103,,,
Group 02,D0201,Group 02 / Disease 01,Depression,high,female,old,-2,0.31452962076961943,0.083418749,0.5456404922206742,0.007642792,1858,,,
Group 02,D0201,Group 02 / Disease 01,Depression,high,female,old,-1,0.3782233056567637,0.082942261,0.6735043501019962,0.012054342000059837,293,,,
Group 02,D0201,Group 02 / Disease 01,Depression,high,female,old,0,0.40181847702692686,0.14470992915896969,0.658927025,0.002190141,4148,,,
Group 02,D0201,Group 02 / Disease 01,Depression,high,female,old,1,0.2598069704884229,0.036417055513533164,0.48319688546331263,0.022636204,3664,,,
Group 02,D0201,Group 02 / Disease 01,Depression,high,female,old,2,0.3931607934944931,0.10836760704479109,0.6779539799441952,0.006813881,3339,,,
Group 02,D0201,Group 02 / Disease 01,Depression,high,female,old,3,0.21831122585223955,-0.004895679,0.4415181304810821,0.055236585,284,,,
Group 02,D0201,Group 02 / Disease 01,Depression,high,female,old,4,0.25168156096553385,-0.084919244,0.5882823657358679,0.14277857492366453,1632,,,
Group 02,D0201,Group 02 / Disease 01,Depression,high,female,old,5,0.24965638161063552,0.07590185,0.42341091312353274,0.004859628,4240,,,
Group 02,D0202,Group 02 / Disease 02,Mortality,low,male,young,-5,-0.992918503,-1.145266496,-0.840570509,0,4805,,,
Group 02,D0202,Group 02 / Disease 02,Mortality,low,male,young,-4,-0.743067918,-0.967545809,-0.518590028,8.698197717649236e-11,1939,,,
Group 02,D0202,Group 02 / Disease 02,Mortality,low,male,young,-3,-0.749575664,-1.008681928,-0.4904694,1.4268246140147767e-08,718,,,
Group 02,D0202,Group 02 / Disease 02,Mortality,low,male,young,-2,-0.815114495,-0.904374824,-0.725854165,0,1504,,,
Group 02,D0202,Group 02 / Disease 02,Mortality,low,male,young,-1,-0.710288109,-1.052277988,-0.368298229,4.6856495061531334e-05,230,,,
Group 02,D0202,Group 02 / Disease 02,Mortality,low,male,young,0,-0.594970854,-0.773842558,-0.41609915,7.0571548604903e-11,2398,,,
Group 02,D0202,Group 02 / Disease 02,Mortality,low,male,young,1,-0.483088082,-0.744100176,-0.222075988,0.000286046,1868,,,
Group 02,D0202,Group 02 / Disease 02,Mortality,low,male,young,2,-0.638813957,-1.05969002,-0.217937893,0.002930588,4678,,,
Group 02,D0202,Group 02 / Disease 02,Mortality,low,male,young,3,-0.277367571,-0.500933186,-0.053801957,0.015028903,1673,,,
Group 02,D0202,Group 02 / Disease 02,Mortality,low,male,young,4,-0.220294972,-0.484624175,0.044034231351430864,0.10236674961217895,1061,,,
Group 02,D0202,Group 02 / Disease 02,Mortality,low,male,young,5,-0.223221511,-0.485371588,0.038928565307268514,0.095128203,474,,,
Group 02,D0202,Group 02 / Disease 02,Mortality,low,male,mid,-5,-0.537094017,-0.789400224,-0.284787809,3.015030888087189e-05,3247,,,
Group 02,D0202,Group 02 / Disease 02,Mortality,low,male,mid,-4,-0.431339671,-0.572629772,-0.290049569,2.1823707285761884e-09,2423,,,
Group 02,D0202,Group 02 / Disease 02,Mortality,low,male,mid,-3,-0.518852741,-0.711136527,-0.326568955,1.2311833019751361e-07,4741,,,
Group 02,D0202,Group 02 / Disease 02,Mortality,low,male,mid,-2,-0.530869313,-0.84178853,-0.219950096,0.000818266,2499,,,
Group 02,D0202,Group 02 / Disease 02,Mortality,low,male,mid,-1,-0.623732707,-0.834040213,-0.4134252,6.136555263935861e-09,4455,,,
Group 02,D0202,Group 02 / Disease 02,Mortality,low,male,mid,0,-0.450955885,-0.68848963,-0.213422141,0.000198401,2118,,,
Group 02,D0202,Group 02 / Disease 02,Mortality,low,male,mid,1,-0.395862968,-0.622899993,-0.168825942,0.000632069,4678,,,
Group 02,D0202,Group 02 / Disease 02,Mortality,low,male,mid,2,-0.507466349,-0.716727361,-0.298205337,2.0034239203159387e-06,3267,,,
Group 02,D0202,Group 02 / Disease 02,Mortality,low,male,mid,3,-0.413040587,-0.688881297,-0.137199877,0.003336761,2999,,,
Group 02,D0202,Group 02 / Disease 02,Mortality,low,male,mid,4,-0.336113177,-0.619764713,-0.052461641,0.020205813,2760,,,
Group 02,D0202,Group 02 / Disease 02,Mortality,low,male,mid,5,-0.22598165,-0.500744555,0.048781254579452094,0.10695700433920274,3327,,,
Group 02,D0202,Group 02 / Disease 02,Mortality,low,male,old,-5,-0.514649139,-0.625854391,-0.403443887,0,2404,,,
Group 02,D0202,Group 02 / Disease 02,Mortality,low,male,old,-4,-0.382691352,-0.622608055,-0.142774649,0.00176962,1734,,,
Group 02,D0202,Group 02 / Disease 02,Mortality,low,male,old,-3,-0.435334269,-0.620681273,-0.249987265,4.1533900918544475e-06,3468,,,
Group 02,D0202,Group 02 / Disease 02,Mortality,low,male,old,-2,-0.292299464,-0.515275253,-0.069323674,0.010188407843017444,2563,,,
Group 02,D0202,Group 02 / Disease 02,Mortality,low,male,old,-1,-0.422549754,-0.618256954,-0.226842555,2.318085390373703e-05,1142,,,
Group 02,D0202,Group 02 / Disease 02,Mortality,low,male,old,0,-0.299578253,-0.477904573,-0.121251934,0.000992336,775,,,
Group 02,D0202,Group 02 / Disease 02,Mortality,low,male,old,1,-0.258822484,-0.485492343,-0.032152624,0.025219638995107374,4064,,,
Group 02,D0202,Group 02 / Disease 02,Mortality,low,male,old,2,-0.357374514,-0.546516636,-0.168232392,0.000212795,3489,,,
Group 02,D0202,Group 02 / Disease 02,Mortality,low,male,old,3,-0.421455294,-0.702291795,-0.140618793,0.003267327,800,,,
Group 02,D0202,Group 02 / Disease 02,Mortality,low,male,old,4,-0.248307965,-0.500396109,0.003780178,0.053531437,3855,,,
Group 02,D0202,Group 02 / Disease 02,Mortality,low,male,old,5,-0.235701042,-0.350597018,-0.120805066,5.8000185673812155e-05,2019,,,
Group 02,D0202,Group 02 / Disease 02,Mortality,low,female,young,-5,-0.883914803,-1.120081709,-0.647747897,2.2026824808563106e-13,1021,,,
Group 02,D0202,Group 02 / Disease 02,Mortality,low,female,young,-4,-0.632667252,-0.913413739,-0.351920766,1.0012873815856693e-05,3110,,,
Group 02,D0202,Group 02 / Disease 02,Mortality,low,female,young,-3,-0.682404819,-1.024752427,-0.340057211,9.34928185560846e-05,4202,,,
Group 02,D0202,Group 02 / Disease 02,Mortality,low,female,young,-2,-0.515321298,-0.778455751,-0.252186845,0.000123811,3993,,,
Group 02,D0202,Group 02 / Disease 02,Mortality,low,female,young,-1,-0.693116388,-1.022163164,-0.364069613,3.6495167812899965e-05,1973,,,
Group 02,D0202,Group 02 / Disease 02,Mortality,low,female,young,0,-0.731665728,-1.028200533,-0.435130924,1.3242736214280626e-06,851,,,
Group 02,D0202,Group 02 / Disease 02,Mortality,low,female,young,1,-0.675718461,-0.764531186,-0.586905737,0,2822,,,
Group 02,D0202,Group 02 / Disease 02,Mortality,low,female,young,2,-0.770341599,-1.005181705,-0.535501493,1.2814971306340794e-10,1273,,,
Group 02,D0202,Group 02 / Disease 02,Mortality,low,female,young,3,-0.787172216,-0.992992431,-0.581352,6.572520305780927e-14,2122,,,
Group 02,D0202,Group 02 / Disease 02,Mortality,low,female,young,4,-0.64555846,-0.875688278,-0.415428642,3.837366158165878e-08,525,,,
Group 02,D0202,Group 02 / Disease 02,Mortality,low,female,young,5,-0.602181407,-0.81720344,-0.387159374,4.0400691680986256e-08,3220,,,
Group 02,D0202,Group 02 / Disease 02,Mortality,low,female,mid,-5,-0.232367381,-0.533014052,0.068279291,0.12980579812924553,446,,,
Group 02,D0202,Group 02 / Disease 02,Mortality,low,female,mid,-4,-0.439431213,-0.686787266,-0.192075161,0.000497748,2148,,,
Group 02,D0202,Group 02 / Disease 02,Mortality,low,female,mid,-3,-0.398070175,-0.697629613,-0.098510736,0.009199499,2514,,,
Group 02,D0202,Group 02 / Disease 02,Mortality,low,female,mid,-2,-0.440646571,-0.551395533,-0.329897609,6.217248937900877e-15,637,,,
Group 02,D0202,Group 02 / Disease 02,Mortality,low,female,mid,-1,-0.519504152,-0.840194207,-0.198814097,0.001497766,3638,,,
Group 02,D0202,Group 02 / Disease 02,Mortality,low,female,mid,0,-0.662937268,-0.91112002,-0.414754516,1.6455229512324365e-07,1284,,,
Group 02,D0202,Group 02 / Disease 02,Mortality,low,female,mid,1,-0.453682044,-0.708015296,-0.199348791,0.000471817,2204,,,
Group 02,D0202,Group 02 / Disease 02,Mortality,low,female,mid,2,-0.729004782,-0.969952272,-0.488057292,3.0269928785742195e-09,599,,,
Group 02,D0202,Group 02 / Disease 02,Mortality,low,female,mid,3,-0.718372034,-0.961609189,-0.47513488,7.096403020767639e-09,496,,,
Group 02,D0202,Group 02 / Disease 02,Mortality,low,female,mid,4,-0.692891374,-1.034798926,-0.350983821,7.126271023238928e-05,2790,,,
Group 02,D0202,Group 02 / Disease 02,Mortality,low,female,mid,5,-0.636151528,-0.942593072,-0.329709985,4.725083064771596e-05,466,,,
Group 02,D0202,Group 02 / Disease 02,Mortality,low,female,old,-5,-0.505103332,-0.780352145,-0.22985452,0.000322212,3487,,,
Group 02,D0202,Group 02 / Disease 02,Mortality,low,female,old,-4,-0.539156361,-0.875788298,-0.202524424,0.001694244,3321,,,
Group 02,D0202,Group 02 / Disease 02,Mortality,low,female,old,-3,-0.475802559,-0.697532607,-0.254072511,2.6005243982885062e-05,653,,,
Group 02,D0202,Group 02 / Disease 02,Mortality,low,female,old,-2,-0.534857447,-0.897791442,-0.171923452,0.003871323,3048,,,
Group 02,D0202,Group 02 / Disease 02,Mortality,low,female,old,-1,-0.529005094,-0.725154039,-0.33285615,1.2499668766707828e-07,2278,,,
Group 02,D0202,Group 02 / Disease 02,Mortality,low,female,old,0,-0.507177568,-0.736420754,-0.277934382,1.4489882688151212e-05,1395,,,
Group 02,D0202,Group 02 / Disease 02,Mortality,low,female,old,1,-0.550243824,-0.821293393,-0.279194255,6.923617755805189e-05,2500,,,
Group 02,D0202,Group 02 / Disease 02,Mortality,low,female,old,2,-0.439968704,-0.67657994,-0.203357468,0.000267872,3633,,,
